log,phase,seconds,iters,passes
_logs/bm25_top1_8k_q3_4_nproc1_fixedquery_clover-0.log,Training,541,63,1
_logs/bm25_top1_8k_q3_4_nproc1_fixedquery_clover-0.log,filter-proponents,544,1,1
_logs/bm25_top1_8k_q3_4_nproc1_retry2_clover-0.log,Training,541,63,1
_logs/bm25_top1_8k_q3_4_single.log,Training,292,63,1
_logs/bm25_top1_8k_q4_6_filter2.log,Training,287,63,1
_logs/bm25_top1_8k_q4_6_filter2.log,filter-proponents,578,2,1
_logs/bm25_top1_8k_q4_6_fixed.log,Training,287,63,1
_logs/bm25_top1_8k_q4_6_rerun.log,Training,289,63,1
_logs/bm25_top1_8k_q5_6_nproc1_fixedquery_heather-0.log,Training,549,63,1
_logs/bm25_top1_8k_q5_6_nproc1_fixedquery_heather-0.log,filter-proponents,552,1,1
_logs/bm25_top1_8k_q5_6_nproc1_retry2_heather-0.log,Training,549,63,1
_logs/bm25_top1_8k_q5_6_single.log,Training,291,63,1
_logs/bm25_top1_8k_q6_8_filter2.log,Training,289,63,1
_logs/bm25_top1_8k_q6_8_filter2.log,filter-proponents,581,2,1
_logs/bm25_top1_8k_q6_8_fixed.log,Training,289,63,1
_logs/bm25_top1_8k_q6_8_rerun.log,Training,290,63,1
_logs/bm25_top1_8k_q7_8_nproc1_fixedquery_clover-0.log,Training,546,63,1
_logs/bm25_top1_8k_q7_8_nproc1_fixedquery_clover-0.log,filter-proponents,550,1,1
_logs/bm25_top1_8k_q7_8_nproc1_retry2_clover-0.log,Training,546,63,1
_logs/bm25_top1_8k_q7_8_single.log,Training,288,63,1
_logs/bm25_top1_8k_q8_10_filter2.log,Training,289,63,1
_logs/bm25_top1_8k_q8_10_filter2.log,filter-proponents,582,2,1
_logs/bm25_top1_8k_q8_10_fixed.log,Training,289,63,1
_logs/bm25_top1_8k_q8_10_rerun.log,Training,288,63,1
_logs/bm25_top1_8k_q9_10_nproc1_fixedquery_heather-0.log,Training,539,63,1
_logs/bm25_top1_8k_q9_10_nproc1_fixedquery_heather-0.log,filter-proponents,542,1,1
_logs/bm25_top1_8k_q9_10_nproc1_retry3_heather-0.log,Training,538,63,1
_logs/bm25_top1_8k_q9_10_single.log,Training,562,63,1
_logs/bm25_top1_8k_q9_10_single_bell2.log,Training,290,63,1
_logs/bm25_top40_256k_q0_2_resume3_lily-0.log,Training,8941,2000,1
_logs/bm25_top40_256k_q0_2_resume3_lily-0.log,filter-proponents,17890,2,1
_logs/bm25_top40_256k_q10_12_resume3_orchid-0.log,Training,8875,2000,1
_logs/bm25_top40_256k_q10_12_resume3_orchid-0.log,filter-proponents,17754,2,1
_logs/bm25_top40_256k_q12_14_resume3_orchid-0.log,Training,8842,2000,1
_logs/bm25_top40_256k_q12_14_resume3_orchid-0.log,filter-proponents,17692,2,1
_logs/bm25_top40_256k_q14_16_resume3_orchid-0.log,Training,8907,2000,1
_logs/bm25_top40_256k_q14_16_resume3_orchid-0.log,filter-proponents,17822,2,1
_logs/bm25_top40_256k_q16_18_resume3_poppy-0.log,Training,10785,2000,1
_logs/bm25_top40_256k_q16_18_resume3_poppy-0.log,filter-proponents,17585,2,1
_logs/bm25_top40_256k_q18_20_resume3_poppy-0.log,Training,11100,2000,1
_logs/bm25_top40_256k_q18_20_resume3_poppy-0.log,filter-proponents,18088,2,1
_logs/bm25_top40_256k_q2_4_resume3_lily-0.log,Training,8870,2000,1
_logs/bm25_top40_256k_q2_4_resume3_lily-0.log,filter-proponents,17741,2,1
_logs/bm25_top40_256k_q4_6_resume3_lily-0.log,Training,8865,2000,1
_logs/bm25_top40_256k_q4_6_resume3_lily-0.log,filter-proponents,17728,2,1
_logs/bm25_top40_256k_q6_8_resume3_lily-0.log,Training,8827,2000,1
