n,rule,method,qset,query,qld,ctrl_sd,ctrl_n
8000,top40,bm25,in-dist,15,0.005542476177215577,0.001819283320856632,100
8000,top40,bm25,in-dist,16,0.006844477653503418,0.0009986561321074928,100
8000,top40,bm25,in-dist,17,0.16167770385742186,0.0019555999703275923,100
8000,top40,bm25,in-dist,18,0.01834556818008423,0.0014505408618618826,100
8000,top40,bm25,in-dist,19,0.024925711154937743,0.002114517989095387,100
8000,top40,magic,in-dist,0,0.04989679654681822,0.0009763178532011807,3
8000,top40,magic,in-dist,1,0.03353683155728504,0.00034026935463771224,3
8000,top40,magic,in-dist,2,0.047904014587402344,4.9899019359145314e-05,3
8000,top40,magic,in-dist,3,0.04309352239215514,0.00041520700324326754,3
8000,top40,magic,in-dist,4,0.03597482043551281,0.00044255558168515563,3
8000,top40,magic,in-dist,5,0.04903952279710211,0.0007091467850841582,3
8000,top40,magic,in-dist,6,0.03395779925631359,0.0003918952133972198,3
8000,top40,magic,in-dist,7,0.04773886998736998,0.0008013509796001017,3
8000,top40,magic,in-dist,8,0.03623819351196289,0.00030832859920337796,3
8000,top40,magic,in-dist,9,0.03808053332613781,0.0007595265051349998,3
8000,top40,magic,in-dist,10,0.0393033822401776,0.0006861945148557425,3
8000,top40,magic,in-dist,11,0.05903363227844238,0.0012593755964189768,3
8000,top40,magic,in-dist,12,0.029103994369506836,0.00034350756322965026,3
8000,top40,magic,in-dist,13,0.029614686965942383,0.001745907124131918,3
8000,top40,magic,in-dist,14,0.033683061599731445,8.706392691237852e-05,3
8000,top40,magic,in-dist,15,0.0417085488588782,0.0014791713329032063,3
8000,top40,magic,in-dist,16,0.02752399444580078,0.0005809262511320412,3
8000,top40,magic,in-dist,17,0.15974934899713844,0.0016396205173805356,3
8000,top40,magic,in-dist,18,0.059036970138549805,0.00012095531565137208,3
8000,top40,magic,in-dist,19,0.08420284590101801,0.00023488287115469575,3
16000,top1%,ekfac,in-dist,0,0.028795528414775617,0.0009416589164175093,100
16000,top1%,ekfac,in-dist,1,0.032630164623697056,0.0011967866448685527,100
